identifier_file,local_note,title,title_other,title_part,abstract,date_text,collection,collection_identifier,shelf_locator,extent,genre,form,language,name,name_role,name 2,name_role 2,publisher,place_of_origin,series_title,subject_geographic,subject_name,subject_name 2,subject_topical,subject_topical 2,project_title,repository,rights,public_note,public_note 2,note_provenance
0012_000416_000045,,Letter from William Jennings Bryan to John W. Gaines,,,Letter concerning the possibility of joining or aiding the Scopes prosecution.,1925-07-02,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3",1 letter (1 page),,correspondence,eng,"Bryan, William Jennings, 1860-1925",Creator,,,,,,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",Public domain.,,,
0012_000416_000046,,Brief on Several Points Raised in Motion to Quash Indictment Filed by Defense,,,Typewritten draft of legal arguments against dismissing the Scopes case.,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3","1 manuscript (27 pages, 14 in x 8 1/2 in)",,manuscripts (document genre),eng,"Hicks, Sue K.",Creator,"Hicks, Herbert E.",Creator,,"Dayton, TN",,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000047,Examination,Biology Examination by Charles Storly,,,Examination answers by one of Scopes's students.,unknown,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3",1 examination (5 pages),,,eng,"Storly, Charles",Creator,,,,"Dayton, TN",,,,,Science,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,The first 1-2 pages are missing from the exam.,"{Subject} Biology {Pupil} Chas. Storly{Teacher} J.T.S.
[note: continued answer from now-missing page] then there are small [illegible] legs that appear, then [illegible] legs, he sheds his tail after wards and becomes an adult.VIIAt different ages your diet should be as required, fats portien and Charbo[illegible]es each stages requires different porpotions.A working man should have different diet from that of a man that is doing light work. and also the sex.VIIIBreathing is A automatic muscles contract and Cause air out of lungs then they relax and this Causes air to be taken into the lungs. The chest moves outward as air is taken in and goes down as air is expanding.{Subject} Biology {Pupil} Chas. StorlyIXThe sweat glands carry off waste material from the body in liquid form and also heat, they are [stricken: ne] necessary.X[note: drawing of a brain, labeled as follows]Feeling legs armmotionThoughtssmellnose mouthBalancinghearing earXI[note: drawing of ear, labeled as follows]internal ear.{-5}aulitory canal.middle ear.{Subject} Biology {Pupil} Chas. Storley{Teacher} J.T. Scopes.XIITheir work is to see that all laws pertaineng to health are inforced see that streets, back door or yard and all building are kepted clear of trash, dirt, and etc.XIIIAtionoids, eyestrain, bad teeth, dust, taking no exercise, not eating right kind of food proper care of themselves.XIVVaccination for fever, small pox was his {-5} greatest [work?]
XVA city disposal plant should have filterng [beds?] and should not turn their sewerage into near by streams for The next city below will get its drinking water from stream. This should never be done, it should be well filtered.{Subject} Biology {Pupil} Chas. Storley{Teacher} J.T. Scopes.
XVIThe Jukes and Kallikak were families of theives, criminals, low breed, insane, yet a few are high minded, while other are not, they always have been around theives and inherit it so they become a theif or criminalXVII[note: drawing of cross-section of a tree, labeled as follows]BarkNo yearssapsmall holes for sap and food to pass throupithXVIII{-5}
{Subject} Biology {Pupil} Chas. Storley{Teacher} J.T. Scopes.
XIX
The complete metaphosis is when a insect has got its full growth as an adult and can reproduce. an incomplete is when it is changing {-5} from one to another as from larva, pupa etc.XXCauses [fermentation?], decay and are helpful to man in this way
Ã¢â‚¬Å“FinisÃ¢â‚¬ï¿½",
0012_000416_000048,,Letter from William Jennings Bryan to W.B. Marr,,,"Letter requesting books concerning ""the Illinois Case"" on the Bible in public schools, to be sent to Hicks & Hicks.",1925-06-13,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3",1 letter (1 page),,correspondence,eng,"Bryan, William Jennings, 1860-1925",Creator,,,,"Coconut Grove, FL",,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",Public domain.,,,
0012_000416_000049,,Letter from W.B. Marr to William Jennings Bryan,,,"Letter concerning the ""Oregon decision"" and having ordered a subscription to the Nashville Banner newspaper for Bryan to stay informed.",1925-06-15,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3",1 letter (1 page),,correspondence,eng,"Marr, W.B.",Creator,,,,"Nashville, TN (I am 99.8% sure this is the place of creation, but it is not explicitly stated)",,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000050,,Letter from W.B. Marr to William Jennings Bryan,,,Letter offering to send requested books and any additional cases or materials of interest.,1925-06-16,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3",1 letter (1 page),,correspondence,eng,"Marr, W.B.",Creator,,,,"Nashville, TN (I am 99.8% sure this is the place of creation, but it is not explicitly stated)",,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000051,"First use of ""appropriations and expenditures"" subject; Add ""Act (legislative record)"" to form",[Public - No. 595 - 68th Congress],,,"Legislation concerning appropriations for the District of Columbia FY1926, prohibits ""disrespect"" of the Bible in schools.",[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3","1 document (40 pages, 9 in x 5 3/4 in)",,,eng,68th Congress,Creator,,,,"Washington, DC",,,,,Appropriations and expenditures,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",Public domain.,,,
0012_000416_000052,,Letter from William Jennings Bryan to W.B. Marr,,,Letter concerning evidence and precedence to consider in the trial.,1925-06-11,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3",1 letter (1 page),,correspondence,eng,"Bryan, William Jennings, 1860-1925",Creator,,,,"Coconut Grove, FL",,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",Public domain.,,,
0012_000416_000053,,HOWARD MORGAN - (GENERAL SCIENCE CLASS),,,Typewritten manuscript draft narrating student's memory of Scopes teaching evolution; handwritten list of names (probably Scopes's students) on reverse,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3","1 manuscript (2 pages, 14 in x 8 1/2 in)",,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, TN",,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000054,,The defendant moves the court to quash the indictment in this case for the following reasons:,,,Typewritten manuscript moving to dismiss the indictment for four specific reasons,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3","1 manuscript (1 page, 14 in x 8 1/2 in)",,manuscripts (document genre),eng,"Godsey, John L.",Creator,"Neal, John R.",Creator,,"Dayton, TN",,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000055,Examination,Biology Examination by Orville Gannaway,,,Examination answers by one of Scopes's students.,1925-04-28,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3",1 examination (5 pages),,,eng,"Gannaway, Orville",Creator,,,,"Dayton, TN",,,,,Science,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,"
{75}{Pupil} Orville Gannaway{Subject} Biology {Teacher} J.T. Scopes{Date} April 28
IBiology is the study of living [stricken: plants] beings both plants, and animals.II Hymenoptera (membrane wing) Bees, wasps.Orthoptera (straight wings)Diptera (two wings) Flies.Coleoptera (Sheath wings) Beetles.Lepidopteria (scale wings) Butterflies,moths.Hemenoptra (Half wings) bugs
III[note: drawing of a flower, labeled as follows]PollenLeavesPetalSepalsStamen
IV[note: drawings of cells, labeled as follows]cell wallsneculusProtoplasmchromosomes{-2}
{Pupil} Orville Gannaway{Subject} Biology {Teacher} J.T. Scopes{Date} April 28
VGreen plants are of importance to man as food and also give off certain elements in the air that people need.VIThe frog is an amphibia animal and they are hatched in the water form a tadpole then change to [stricken: a] form two legs in front, then later the tail changes and forms two legs behind and is called a frog.VIIIf a person is working at hard labor they ought to eat more than any one who works in the office.A young person just growing up need to eat more than an old person. Men and boys need more to eat than a girl or woman because thy do more muscular work.VIIIBy muscular breathing you can take in more air into the lungs and expand the muscles of your chesr.
{Pupil} Orville Gannaway{Subject} Biology {Teacher} J.T. Scopes{Date} April 28
IXThe sweat glands pour the heat out through the skin of the body and helps to regulate the temperature.X[note: drawing of the brain, labeled as follows]thoughtarmseyeslegshearingsmell & tasteSpinal cordXI[note: drawing of ear, labeled as follows]Eustachian Tube.{-5}
XIIThe work of the city board of health is to see that evey thing is clean about the city and inspect the factories and your homes once a month or sooner. They also look after the milk that is shiped into larger towns. The City board of health is suppose to look after the water supply of [stricken: y] the town.
{Pupil} Orville Gannaway{Subject} Biology {Teacher} J.T. Scopes{Date} April 28
XIII{-5}
XIV{Circulation of the blood.}[note: written in same hand but darker ink]{-2}
XVSome cities have tanks to run their disposal in and chemicals to pour in on the disposal that soon destroys it.Most cities run their disposal into rivers and Creeks.
XVIThe Jukes family was a family of 496 decendents and some of them were drunkards, epileptics, and most were immoral.The Kallikak family were a strong minded people the mother of the family were of strong mind and
{Pupil} Orville Gannaway{Subject} Biology {Teacher} J.T. Scopes{Date} April 28her descendants have become some of the great men of the United States.
XVII[note: drawing of the cross-section of a tree, labeled as follows]Bark Protection for the treerings to tell how old the tree is.Pith.
XVIII[note: new ink begins here] Hybridizing is the Crossing of any plants. The greatest, hybridizery is Luther Burbank.IX[stricken: The difference]Metamorphasis is the stage between pupae and adult. {-5}XX{-5}",
0012_000416_000056,,"Brief of Law for the State: Article XI, Sec. 12, Tennessee Constitution (1870)",,,Brief contains the quoted constitution and describes two prior relevant cases.,1925-07-10,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3","1 manuscript (2 pages, 14 in x 8 1/2 in)",,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, TN",,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000057,,Citations Used in Evolution Case,,,Typewritten list of six citations; a seventh item does not contain a specific reference.,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3","1 manuscript (1 page, 14 in x 8 1/2 in)",,manuscripts (document genre),eng,unknown,Creator,,,,"Dayton, TN",,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000058,,The defendant moves the court to quash the indictment in this case for the following reasons:,,,Typewritten manuscript moving to dismiss the indictment for four specific reasons,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3","1 manuscript (1 page, 14 in x 8 1/2 in)",,manuscripts (document genre),eng,"Godsey, John L.",Creator,"Neal, John R.",Creator,,"Dayton, TN",,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,Second copy.,,
0012_000416_000059,,Excerpted articles from TN and US constitutions,,,Typewritten manuscript containing articles used by the defense to challenge the indictment,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3","1 manuscript (2 pages, 14 in x 8 1/2 in)",,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, TN",,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000060,,"Letter from W.B. Marr to Hicks & Hicks, Attys.",,,"Letter enclosing ""full opinion and decision"" of Oregon case, and recommending additional citations.",1925-06-15,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3",1 letter (1 page),,correspondence,eng,"Marr, W.B.",Creator,,,,"Nashville, TN",,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000061,,"""Not yeilding [sic] an inch in our contention"" draft",,,Draft of argument against allowing the defense to present witnesses arguing for the compatibility of evolution and divine creation.,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3","1 manuscript (1 page, 14 in x 8 1/2 in)",,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, TN",,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000062,,Brief on Section 12 Article XI Tennessee Contitution on Literature and Science,,,Typewritten manuscript proposes 6 arguments on legislative authority and state independence outside the bounds of the US Constitution,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3","1 manuscript (10 pages, some of them duplicated, 14 in x 8 1/2 in)",,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, TN",,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000063,,Walter White,,,"Typewritten manuscript outlining testimony of Walter White, County Superintendent of Public Schools; handwritten notes.",[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3","1 manuscript (1 page, 14 in x 8 1/2 in)",,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, TN",,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,That he heard Scopes say that Ã¢â‚¬Å“a teacher couldÃ¢â‚¬â„¢nt teach Biology without teaching evolutionÃ¢â‚¬ï¿½.,
0012_000416_000064,,Jack Hudson - (Biology). and Traynor Hutcheson,,,Typewritten manuscript outlining testimony of Jack Hudson and giving specific dates during which students were assigned readings on evolution.,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3",1 manuscript (1 page  14 in x 8 1/2 in),,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, TN",,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000065,,James M. Benson (Physics class),,,Typewritten manuscript outlining testimony of James Benson that Scopes related Darwin's theory of Evolution to class in April.,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3","1 manuscript (1 page, 14 in x 8 1/2 in)",,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, TN",,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000066,,Excerpted articles from TN and US constitutions,,,Typewritten manuscript containing articles used by the defense to challenge the indictment,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3","1 manuscript (3 pages, 14 in x 8 1/2 in)",,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, TN",,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,This draft is a separate one from the previous draft on the same subject.,,
0012_000416_000067,"First occurrence of ""Expert testimony"" as subject.",Admissibility and basis of expert testimony,,,"Typewritten manuscript, guidelines for expert witnesses, credited from ""Underhill's Criminal Evidence, Third Edition. Page 188.""",[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3","1 document (1 page, 14 in x 8 1/2 in)",,manuscripts (document genre),eng,"Underhill, H. C. Gifford",Author,,,,"Dayton, TN",,,,,"Evidence, Expert",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000068,,Experts Testimony,,,"Typewritten manuscript, quotes unfavorable to expert testimony, from ""Jones on Evidence"" vol. 2, and Tennessee Reports vol. 94.",[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3","1 manuscript (1 page, 14 in x 8 1/2 in)",,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, TN",,,,,"Evidence, Expert",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000069,,Courts Recognizance on the Bible,,,"Typewritten manuscript summarizing the general ""judicial notice of the Bible"" and of differing sects of Christianity, quoted from Jones on Evidence.",[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3","1 manuscript (1 page, 14 in x 8 1/2 in)",,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, TN",,,,,Judicial notice,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000070,,"(F) Article 1, Section 9, Tennessee Constitution.",,,Typewritten manuscript containing this paragraph.,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3","1 manuscript (1 page, 14 in x 8 1/2 in)",,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, TN",,,,, ,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",Public domain.,,,
0012_000416_000071,,"(C) Article 1, Section 3, Tennessee Constitution",,,Typewritten manuscript containing this paragraph.,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3","1 manuscript (1 page, 14 in x 8 1/2 in)",,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, TN",,,,, ,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",Public domain.,,,
0012_000416_000072,,"(D) Article 1, Section 19, Tennessee Constitution",,,Typewritten manuscript containing this paragraph.,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3","1 manuscript (1 page, 14 in x 8 1/2 in)",,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, TN",,,,, ,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",Public domain.,,,
0012_000416_000073,,Letter from John W. Gaines to William Jennings Bryan,,,Letter suggesting Bryan ask Judge John A. Pitts to write him a brief on Tennessee Evolution Statute,1925-06-30,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3",1 letter (1 page),,correspondence,eng,"Gaines, John W.",Creator,,,,"Nashville, TN",,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000074,,State vs Scopes,,,"Handwritten letter gives case citations, discusses possibility of meeting with Bryan in Nashville in June.",1925-05-31,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3","1 manuscript (3 pages, 14 in x 8 1/2 in)",,manuscripts (document genre),eng,"Gaines, John W.",Creator,,,,,,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,"
StatevsScopesÃ¢â‚¬Å“As to creating, & requeating Ã¢â‚¬Å“Common & [illegible],Ã¢â‚¬ï¿½ by the state:{Ã¢Å“â€œ}103. Tenn, [Lukas?] vs. State, {Ã¢Å“â€œ}[illegible]: 122 Tenn, State &c vs Evans,{Ã¢Å“â€œ}selecting school books:103, Tenn, [supra?][Excluding?] sectarianism:++ Ã¢â‚¬Å“[none?] of said text books shall contain any thing of a [par-?][tisan?] or sectarian [char?]acterÃ¢â‚¬ï¿½{+}sec 1461.a24, [state?], ann code [illegible]993, [sec?] 1453-55,statute [on?] [reece?] prohibiting teachers, in school, from wearing their Ã¢â‚¬Å“religiousÃ¢â‚¬ï¿½ garb, or [colors?] on duty - is [illegible] [illegible]:{x}229.[PA?].[st.?]R. 132, [illegible] vs Herr, (22. Ann case 4271 - very able, 184 N.Y. 421, [illegible] vs [illegible]{x} (6. Ann. case 432) very able.Polygamy & bigamy, not ex-cused, because a Ã¢â‚¬Å“religiousÃ¢â‚¬ï¿½ {x} belief (or for any reason?)98 U.S. 145. Reynolds vs U.S.
{x} 136 U.S. I_63. [Corps?]. & Church of Jesus Christ of Latter Day Saints vs U.S.Ramsey vs. U.S.{x} 133 U.S. 333_8, Davis vs. Beason,
In the Davis case, the Idaho territorial statute was [illegible].It provided that-Ã¢â‚¬Å“no [person?] ++ in this Territory ++ who teaches, advises, coun-sels or encourages any person or persons to become bigamist or polygamists, or to commit any crimes\ defined by law, or to enter into what is known as plural or celestial marriage- ++ is [illegible] to vote in any election or to hold any position or office of honor ++ is not open to any constitutional or legal objectionÃ¢â‚¬ï¿½, 133 U.S. [supra?]Sunday May 31/Ã¢â‚¬â„¢25[illegible] Hicks & Hicks: In the [illegible] cited you will find the [illegible] principle passed on, [illegible] in the Scopes case - it being a question of law, as I see it. I am greatly taxed just now or would run over - and talk with you - If you would come here, you could soon Ã¢â‚¬Å“load upÃ¢â‚¬ï¿½ - the state Library [&c?] to aid you,I didÃ¢â‚¬â„¢nt [write?] you - [only?] [received?] [illegible] 2 copies of [several words illegible] - am glad, if I can aid you - [command?] me - Bryan will be here 8. am June 4th - a few minutes, you [or?] one of you might come here June 3 - and [Stricken: if] (or the 4th [illegible]& see B[illegible] [heÃ¢â‚¬â„¢ll?] have us twice, to confer - he will have to leave next train. If you came [illegible], call at my office, or let me know where you are, & IÃ¢â‚¬â„¢ll call. I run off this, by [illegible] - all alone - to rush the citation to you.What day is the trial set?Gaines.",
0012_000416_000075,,It is agreed by counsel for prosecution and by counsel for defendant that,,,Typewritten manuscript listing facts not in contention (including that Scopes taught evolutionary theory.),[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 3",1 manuscript (1 page),,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,"Dayton, TN",,,,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
